model,ablation_family,ablation_name,ablation_method,ablation_path,baseline_mean_speedup,baseline_mean_tau,eagle3_mean_speedup,eagle3_mean_tau,ablation_mean_speedup,ablation_mean_tau,dataset_collection_time_seconds,dataset_target_calls,dataset_drafter_calls,dataset_flops,training_time_seconds,training_target_calls,training_drafter_calls,training_flops,validation_time_seconds,validation_target_calls,validation_drafter_calls,validation_flops,total_time_seconds,total_target_calls,total_drafter_calls,total_flops
14b,LTD,100k_coop,Eagle3+LTD,results/14b/LTD/100k_coop,1.0000,,2.1909,3.4733,2.4037,3.7271,,,,,6765.099577,127074,495544,5128388672614400,2471.700917,37739,207018,1689123124275200,9236.800494,164813,702562,6817511796889600
14b,LTD,100k_notcoop,Eagle3+LTD,results/14b/LTD/100k_notcoop,1.0000,,2.1959,3.4733,2.4605,3.7335,,,,,7737.627112,128982,854659,6181229475737600,16614.410034,252403,2147817,13414968299161600,24352.037146,381385,3002476,19596197774899200
14b,LTD,10k_coop,Eagle3+LTD,results/14b/LTD/10k_coop,1.0000,,1.9064,3.0586,2.0780,3.1871,,,,,730.845923,12926,44496,505259344793600,216.917619,3888,22771,178024129126400,947.763542,16814,67267,683283473920000
14b,LTD,10k_notcoop,Eagle3+LTD,results/14b/LTD/10k_notcoop,1.0000,,1.8793,3.0586,1.8586,3.1970,,,,,981.603059,13655,87079,644952344012800,2029.495595,32650,229583,1601425449881600,3011.098654,46305,316662,2246377793894400
14b,LTD,50k_coop,Eagle3+LTD,results/14b/LTD/50k_coop,1.0000,,2.1848,3.4733,2.5671,3.6326,,,,,3370.315818,65712,237507,2599952789299200,1143.263098,19525,100758,856289241241600,4513.578916,85237,338265,3456242030540800
14b,LTD,50k_notcoop,Eagle3+LTD,results/14b/LTD/50k_notcoop,1.0000,,2.1259,3.4733,2.4843,3.6387,,,,,3380.588846,66118,434934,3159772043776000,6681.150174,131125,1086068,6886648279193600,10061.73902,197243,1521002,10046420322969600
14b,SupervisedLearning,100k_1,Eagle3+SupervisedDepth,results/14b/SupervisedLearning/100k_1,1.0000,,2.1549,3.4733,2.2085,3.4271,4425.827052,107818,100010,3462089959731200,7.64814,,,72444738960,551.04199,12288,49012,498946140569600,4984.517181,120106,149022,3961108545039760
14b,SupervisedLearning,100k_20,Eagle3+SupervisedDepth,results/14b/SupervisedLearning/100k_20,1.0000,,2.4250,3.4733,2.5350,3.4560,4425.827052,107818,100010,3462089959731200,23.79181,,,1448894779200,400.419478,6613,22303,257212780492800,4850.03834,114431,122313,3720751635003200
14b,SupervisedLearning,10k_1,Eagle3+SupervisedDepth,results/14b/SupervisedLearning/10k_1,1.0000,,2.2486,3.4733,2.1819,3.3110,495.655301,10792,10011,346538017792000,0.86567,,,7251073830,581.611292,13385,29943,478434474137600,1078.132262,24177,39954,824979743003430
14b,SupervisedLearning,10k_20,Eagle3+SupervisedDepth,results/14b/SupervisedLearning/10k_20,1.0000,,2.1977,3.4733,1.7086,3.4647,495.655301,10792,10011,346538017792000,5.322802,,,145021476600,464.633648,6537,54011,342952472320000,965.611751,17329,64022,689635511588600
14b,SupervisedLearning,50k_1,Eagle3+SupervisedDepth,results/14b/SupervisedLearning/50k_1,1.0000,,2.1564,3.4733,2.2676,3.2908,2136.435899,53916,50012,1731271160012800,4.447037,,,36227198700,385.631982,6887,23705,269196131788800,2526.514918,60803,73717,2000503519000300
14b,SupervisedLearning,50k_20,Eagle3+SupervisedDepth,results/14b/SupervisedLearning/50k_20,1.0000,,2.3041,3.4733,2.1645,2.6948,2136.435899,53916,50012,1731271160012800,12.935637,,,724543974000,420.204421,7344,35940,316644473241600,2569.575957,61260,85952,2048640177228400
14b,SupervisedLearningTitan,100k_1,Eagle3+SupervisedDepth,results/14b/SupervisedLearningTitan/100k_1,1.0000,,2.2528,3.4733,2.1985,3.4755,3295.668614,107818,100010,3462089959731200,12.205686,,,494183343504,404.361223,5700,52048,312783324569600,3712.235522,113518,152058,3775367467644304
14b,SupervisedLearningTitan,100k_20,Eagle3+SupervisedDepth,results/14b/SupervisedLearningTitan/100k_20,1.0000,,2.1983,3.4733,2.4811,3.4656,3295.668614,107818,100010,3462089959731200,23.230469,,,9883666870080,338.00231,6579,23607,259826920704000,3656.901392,114397,123617,3731800547305280
14b,SupervisedLearningTitan,10k_1,Eagle3+SupervisedDepth,results/14b/SupervisedLearningTitan/10k_1,1.0000,,2.0604,3.4733,1.7484,3.4588,433.463655,10792,10011,346538017792000,1.073091,,,49463355942,448.071684,5704,73430,372232997273600,882.60843,16496,83441,718820478421542
14b,SupervisedLearningTitan,10k_20,Eagle3+SupervisedDepth,results/14b/SupervisedLearningTitan/10k_20,1.0000,,2.1431,3.4733,2.3470,3.4748,433.463655,10792,10011,346538017792000,4.94687,,,989267118840,397.91927,5714,47320,300077416345600,836.329794,16506,57331,647604701256440
14b,SupervisedLearningTitan,50k_1,Eagle3+SupervisedDepth,results/14b/SupervisedLearningTitan/50k_1,1.0000,,2.1302,3.4733,2.3963,3.3810,1734.994925,53916,50012,1731271160012800,5.250315,,,247124614380,379.656431,5872,41640,288983137484800,2119.901672,59788,91652,2020501422111980
14b,SupervisedLearningTitan,50k_20,Eagle3+SupervisedDepth,results/14b/SupervisedLearningTitan/50k_20,1.0000,,2.2070,3.4733,2.4631,3.4675,1734.994925,53916,50012,1731271160012800,14.556938,,,4942492287600,360.35217,6581,23657,260024735692800,2109.904032,60497,73669,1996238387993200
8b,LTD,100k_coop,Eagle3+LTD,results/8b/LTD/100k_coop,1.0000,,2.1527,3.4912,2.2280,3.6543,,,,,4766.50421,122402,560611,3150849623805952,1899.820736,40596,239047,1153564306284544,6666.324946,162998,799658,4304413930090496
8b,LTD,100k_notcoop,Eagle3+LTD,results/8b/LTD/100k_notcoop,1.0000,,1.9927,3.4912,2.3175,3.7122,,,,,6799.522657,122962,851561,3754639913111552,15245.052753,265644,2303163,9058630656024576,22044.57541,388606,3154724,12813270569136128
8b,LTD,10k_notcoop,Eagle3+LTD,results/8b/LTD/10k_notcoop,1.0000,,1.8652,3.1979,2.0004,3.3894,,,,,619.080447,13417,87282,398169061238784,1338.687988,32237,224189,986266188105728,1957.768434,45654,311471,1384435249344512
8b,LTD,50k_coop,Eagle3+LTD,results/8b/LTD/50k_coop,1.0000,,2.1408,3.4912,2.2755,3.6487,,,,,3098.976999,63490,276508,1605161019559936,992.799816,20418,122798,585440049483776,4091.776815,83908,399306,2190601069043712
8b,LTD,50k_notcoop,Eagle3+LTD,results/8b/LTD/50k_notcoop,1.0000,,2.0811,3.4912,2.3960,3.6704,,,,,3063.54149,64523,435387,1946785265547264,6204.764042,136720,1145641,4581029657116672,9268.305531,201243,1581028,6527814922663936
8b,SupervisedLearning,100k_1,Eagle3+SupervisedDepth,results/8b/SupervisedLearning/100k_1,1.0000,,2.1160,3.4912,2.3320,3.1755,3775.923699,107849,100010,1971116411955200,9.542952,,,72444738960,587.666748,14376,22029,280520853209088,4373.133399,122225,122039,2251709709903248
8b,SupervisedLearning,100k_20,Eagle3+SupervisedDepth,results/8b/SupervisedLearning/100k_20,1.0000,,2.0982,3.4912,2.3807,3.3758,3775.923699,107849,100010,1971116411955200,20.965283,,,1448894779200,346.243406,6216,42958,189620804141056,4143.132388,114065,142968,2162186110875456
8b,SupervisedLearning,10k_20,Eagle3+SupervisedDepth,results/8b/SupervisedLearning/10k_20,1.0000,,2.1349,3.4912,2.1507,2.6345,349.580983,10795,10011,197297531123712,2.155731,,,145021476600,508.496363,13778,55325,338772015042560,860.233077,24573,65336,536214567642872
8b,SupervisedLearning,50k_1,Eagle3+SupervisedDepth,results/8b/SupervisedLearning/50k_1,1.0000,,2.1717,3.4912,2.2083,3.3894,1571.334028,53931,50012,985678991489024,4.58669,,,36227198700,614.177096,13075,52538,321560028624896,2190.097815,67006,102550,1307275247312620
8b,SupervisedLearning,50k_20,Eagle3+SupervisedDepth,results/8b/SupervisedLearning/50k_20,1.0000,,1.9254,3.4912,2.7300,3.3169,1571.334028,53931,50012,985678991489024,31.341599,,,724543974000,438.717271,7173,21859,162177689356288,2041.392899,61104,71871,1148581224819312
8b,SupervisedLearningTitan,100k_1,Eagle3+SupervisedDepth,results/8b/SupervisedLearningTitan/100k_1,1.0000,,1.9677,3.4912,1.7506,3.4957,4257.322749,107849,100010,1971116411955200,10.763522,,,494183343504,323.442219,6977,51755,220065597286400,4591.52849,114826,151765,2191676192585104
8b,SupervisedLearningTitan,100k_20,Eagle3+SupervisedDepth,results/8b/SupervisedLearningTitan/100k_20,1.0000,,2.0853,3.4912,2.2665,3.4825,4257.322749,107849,100010,1971116411955200,28.130435,,,9883666870080,333.362695,6941,26995,168873669314560,4618.815878,114790,127005,2149873748139840
8b,SupervisedLearningTitan,10k_20,Eagle3+SupervisedDepth,results/8b/SupervisedLearningTitan/10k_20,1.0000,,2.2003,3.4912,2.3455,3.4520,292.873201,10795,10011,197297531123712,2.111657,,,989267118840,422.908293,13806,25689,278663383953408,717.893152,24601,35700,476950182195960
8b,SupervisedLearningTitan,50k_1,Eagle3+SupervisedDepth,results/8b/SupervisedLearningTitan/50k_1,1.0000,,2.1758,3.4912,2.3677,3.4857,1451.493919,53931,50012,985678991489024,7.86371,,,247124614380,377.819979,6935,29659,174219816982528,1837.177608,60866,79671,1160145933085932
8b,SupervisedLearningTitan,50k_20,Eagle3+SupervisedDepth,results/8b/SupervisedLearningTitan/50k_20,1.0000,,2.0243,3.4912,2.4016,3.4644,1451.493919,53931,50012,985678991489024,10.183648,,,4942492287600,271.334101,6945,25241,165354532431872,1733.011667,60876,75253,1155976016208496
